start,end,end_date,predicted_pattern,pred_return,pred_low,pred_high,target_level,support_level,resistance_level,prob_double_bottom,prob_double_top,prob_ascending_channel,prob_descending_channel,prob_high_tight_flag,prob_head_shoulders,prob_inverse_head_shoulders,prob_range,trend_slope,residual_std,pattern_range,n_maxima,n_minima,symmetry_score,drawdown,volatility_ratio,compression_ratio,breakout_strength,return_mean,return_std,pattern_entropy,metric_distance,decay_beta,volatility_spike,dominant_pattern_window,dominant_confidence_window,weighted_outlier_score,outlier_flag,current_price,pred_return_pct,pred_low_pct,pred_high_pct
4684,4716,2019-11-30,ascending_channel,0.04304242879152298,0.012601090595126152,-0.03142135962843895,65.11713914776607,63.216686394875055,60.4683648139833,0.06683226674795151,0.079004667699337,0.4540458023548126,0.06085851043462753,0.047626107931137085,0.04928646236658096,0.05043656751513481,0.1919095665216446,0.07357525615748221,0.49887606880875063,3.6466636757714914,5.0,4.0,0.5063990392400974,-0.026508607844226706,2.1015029986674736,1.0215377886869543,0.00045696205363669767,0.0009730595511998634,0.005727595917619116,0.8035809026589625,0.9256181297463815,0.6309573444801932,1.0,ascending_channel,0.5456457911421966,0.4388528048049498,1,62.43000030517578,4.304242879152298,1.2601090595126152,-3.142135962843895
4685,4717,2019-12-01,ascending_channel,-0.0012303674593567848,-0.0013418439775705338,-0.03255508840084076,62.35318846431266,62.346228985246555,60.39758612637627,0.10949239879846573,0.11776741594076157,0.18483126163482666,0.10812987387180328,0.13721735775470734,0.1244579404592514,0.13357245922088623,0.08453133702278137,0.060915198843502646,0.5194852677082905,3.4133313596907646,5.0,4.0,0.47265691365747775,-0.026508607844226706,1.995662163050582,0.9866258814705225,0.0,0.0008528340869729125,0.005729358101977819,0.9888716803270234,0.9141819845946171,0.6309573444801932,1.0,ascending_channel,0.4748531424252656,0.45415367045448535,1,62.43000030517578,-0.12303674593567848,-0.13418439775705338,-3.255508840084076
4686,4718,2019-12-02,range,0.02246805466711521,-0.03472554683685303,-0.004415230825543404,62.288752018125734,58.8045179192286,60.65102231513774,0.0409969687461853,0.06863830983638763,0.28269606828689575,0.17044557631015778,0.01648368127644062,0.019115878269076347,0.02143157087266445,0.3801918625831604,0.03711937063483969,0.6147011923170317,2.706665049062507,5.0,5.0,0.33497619347007823,-0.04220591228729931,2.432579808800001,1.6811577615861113,-0.371306270144585,-0.00015225802580635337,0.005811356326989945,0.753525625475812,1.2987401786641388,0.6309573444801932,1.0,ascending_channel,0.45368545998990695,0.4719369346003404,1,60.91999816894531,2.246805466711521,-3.4725546836853027,-0.44152308255434036
4687,4719,2019-12-03,range,-0.010640008375048637,-0.04765130579471588,0.03471425175666809,60.17287438870083,57.92184729093162,62.93132047607082,0.0479208268225193,0.07985852658748627,0.11431577056646347,0.24366919696331024,0.02283955179154873,0.025456031784415245,0.031293269246816635,0.434646874666214,0.020982392256096077,0.7290119093293865,3.276664743886726,5.0,4.0,0.45066192771558333,-0.05109410376143575,2.2446106035302393,2.0351947027021633,-0.4806721229752933,-0.00044495926151948866,0.00602638014993106,0.7645026008796924,1.18672713942246,0.6309573444801932,1.0,ascending_channel,0.4316304576486388,0.48050499335695657,1,60.81999969482422,-1.0640008375048637,-4.765130579471588,3.471425175666809
4688,4720,2019-12-04,ascending_channel,0.010858828201889992,-0.011500982567667961,0.010864835232496262,63.68410617671907,62.27543809823692,63.684484619647264,0.054875049740076065,0.08319692313671112,0.3443068563938141,0.14321522414684296,0.030797971412539482,0.033755768090486526,0.03864014521241188,0.27121204137802124,0.01727210158593407,0.6745580851381631,2.7399978737695383,5.0,5.0,0.34306639024770136,-0.04272568191359938,1.5424249470466767,1.8724361453256897,-0.05656963756408296,0.000200862801968708,0.006167646249815187,0.8236679195256331,0.9969282336506364,0.6309573444801932,1.0,ascending_channel,0.42819081766817113,0.48087355922752173,1,63.0,1.0858828201889992,-1.1500982567667961,1.0864835232496262
4689,4721,2019-12-05,range,0.0844573900103569,0.017524005845189095,-0.03563045337796211,68.74375329085626,64.50084610947917,61.13138497176652,0.020243890583515167,0.03191057965159416,0.19874738156795502,0.2386535257101059,0.005046415608376265,0.00604311004281044,0.007243783213198185,0.4921112358570099,0.015569994060409669,0.6644771012517394,2.7399978737695383,5.0,5.0,0.34306639024770136,-0.04272568191359938,1.7490491049465449,1.9807224253977682,0.3017033414487649,0.00040234650201678013,0.0066260389059428024,0.6223377793979282,1.2623490547544227,0.6309573444801932,1.0,ascending_channel,0.42262671224112136,0.4832347296380648,1,63.38999938964844,8.44573900103569,1.7524005845189095,-3.5630453377962112
4690,4722,2019-12-06,descending_channel,0.022591397166252136,-0.032501935958862305,0.00817449763417244,65.84465943939472,62.2971997530949,64.91635528732348,0.04519893601536751,0.04983900859951973,0.14882823824882507,0.3979373276233673,0.01308907475322485,0.01589624397456646,0.017533035948872566,0.3116781413555145,0.02156096003505481,0.6934662798077168,2.7399978737695383,4.0,5.0,0.4087590551097544,-0.04272568191359938,1.6798367428465093,1.9807224253977682,0.5565698677769885,0.0007164889933076653,0.007116307610589374,0.7196479375463545,1.3264725500059888,0.6309573444801932,1.0,ascending_channel,0.4185004585747449,0.4851523169094492,1,64.38999938964844,2.2591397166252136,-3.2501935958862305,0.817449763417244
4691,4723,2019-12-07,range,0.01323193870484829,-0.00014376454055309296,0.007014483213424683,65.24200391477748,64.38074239096997,64.84166195947955,0.09467529505491257,0.10666903853416443,0.2345033586025238,0.1367563009262085,0.06180543079972267,0.06149980053305626,0.06690379977226257,0.237186998128891,0.03161533160876394,0.7273726125196014,3.000000010000007,4.0,4.0,0.46000035783841153,-0.04272568191359938,1.3733840990610424,2.1686758791915306,0.6033335771582667,0.001194613841049789,0.0071073876588291784,0.932883092798612,1.169682874909443,0.6309573444801932,1.0328471563683106,ascending_channel,0.4167673499777858,0.4867057916585973,1,64.38999938964844,1.323193870484829,-0.014376454055309296,0.7014483213424683
4692,4724,2019-12-08,range,0.03251843899488449,0.010822109878063202,0.01478399708867073,66.48386165668137,65.08683503809164,65.34194095316451,0.11824241280555725,0.14678645133972168,0.07493974268436432,0.17183822393417358,0.09714062511920929,0.10255604982376099,0.10246986150741577,0.1860266774892807,0.03398276820327319,0.7438759758773512,3.000000010000007,4.0,4.0,0.46000035783841153,-0.04272568191359938,1.3631483107928073,1.7999999891999994,0.5283334502516919,0.0009738610988676672,0.007069386202815227,0.9797253501800306,1.0254930414061856,0.6309573444801932,0.9852988343485823,ascending_channel,0.4147478283565618,0.4875733638639863,1,64.38999938964844,3.251843899488449,1.0822109878063202,1.478399708867073
4693,4725,2019-12-09,ascending_channel,0.02317887172102928,0.0731387585401535,-0.03877541422843933,65.73924250807613,68.94916523620486,61.75867963582277,0.11860807240009308,0.1478424370288849,0.1961621344089508,0.09469354897737503,0.07959537208080292,0.08611070364713669,0.08215774595737457,0.19482991099357605,0.03788673889369193,0.7550778608112066,3.000000010000007,5.0,4.0,0.3733329793838134,-0.04272568191359938,1.335171263075482,1.7999999891999994,0.44333351835186385,0.0008551513073620905,0.007080969364408074,0.9689045549646342,0.7496666734081873,0.6309573444801932,0.9483684953552567,ascending_channel,0.3019759866478548,0.528877775871049,1,64.25,2.317887172102928,7.31387585401535,-3.877541422843933
